currency_code,exchange_rate_to_usd
AED,0.27333333
ARS,0.00100000
AUD,0.66666667
BGN,0.56666667
BOB,0.14666667
BRL,0.19333333
CAD,0.73333333
CHF,1.13333333
CLP,0.00106667
CNY,0.14000000
COP,0.00024000
CRC,0.00193333
CZK,0.04333333
DKK,0.14666667
DOP,0.01666667
EUR,1.10000000
GBP,1.26666667
GTQ,0.12666667
HKD,0.12666667
HRK,0.14666667
HUF,0.00280000
INR,0.01200000
JPY,0.00666667
KWD,3.23333333
MDL,0.05533333
MXN,0.05666667
NOK,0.09333333
NZD,0.61333333
PEN,0.26666667
PHP,0.01733333
PLN,0.25333333
PYG,0.00013333
RON,0.22000000
RSD,0.00933333
SEK,0.09333333
SGD,0.74666667
TRY,0.03066667
USD,1.00000000
UYU,0.02466667
VND,0.00004000
ZAR,0.05533333
